cyto	resp_del_freq	non_resp_del_freq	freq_diff	chr9_Mb
chr9_q34	42.41245136	36.25170999	6.160741376	130.306288
chr9_q34	42.41245136	36.38850889	6.02394247	130.414288
chr9_q34	42.41245136	36.25170999	6.160741376	130.486288
chr9_q34	42.41245136	36.38850889	6.02394247	130.487288
chr9_q34	42.41245136	36.5253078	5.887143564	130.488288
chr9_q34	42.41245136	36.5253078	5.887143564	130.492288
chr9_q34	42.41245136	36.38850889	6.02394247	130.500288
chr9_q34	42.41245136	36.38850889	6.02394247	130.504288
chr9_q34	42.41245136	36.38850889	6.02394247	130.509288
chr9_q34	42.41245136	36.25170999	6.160741376	130.531288
chr9_q34	42.80155642	36.38850889	6.413047528	130.549288
chr9_q34	42.80155642	36.38850889	6.413047528	130.577288
chr9_q34	42.80155642	36.25170999	6.549846434	130.605288
chr9_q34	42.80155642	36.38850889	6.413047528	130.618288
chr9_q34	42.80155642	36.5253078	6.276248623	130.630288
chr9_q34	42.80155642	36.5253078	6.276248623	130.630288
chr9_q34	42.80155642	36.5253078	6.276248623	130.630288
chr9_q34	42.80155642	36.6621067	6.139449717	130.633288
chr9_q34	43.19066148	36.79890561	6.39175587	130.635288
chr9_q34	43.19066148	36.79890561	6.39175587	130.635288
chr9_q34	42.80155642	36.79890561	6.002650811	130.636288
chr9_q34	42.80155642	36.79890561	6.002650811	130.643288
chr9_q34	42.41245136	36.79890561	5.613545753	130.651288
chr9_q34	42.41245136	36.6621067	5.750344659	130.653288
chr9_q34	42.41245136	36.6621067	5.750344659	130.653288
chr9_q34	42.41245136	36.6621067	5.750344659	130.655288
chr9_q34	42.41245136	36.38850889	6.02394247	130.657288
chr9_q34	42.41245136	36.11491108	6.297540281	130.664288
chr9_q34	42.0233463	35.97811218	6.045234128	130.671288
chr9_q34	42.0233463	35.97811218	6.045234128	130.672288
chr9_q34	42.0233463	35.97811218	6.045234128	130.673288
chr9_q34	42.0233463	35.97811218	6.045234128	130.682288
chr9_q34	41.63424125	35.84131327	5.792927976	130.689288
chr9_q34	41.63424125	35.70451436	5.929726881	130.690288
chr9_q34	41.63424125	35.70451436	5.929726881	130.690288
chr9_q34	41.63424125	35.70451436	5.929726881	130.690288
chr9_q34	41.63424125	35.70451436	5.929726881	130.694288
chr9_q34	41.63424125	35.56771546	6.066525787	130.699288
chr9_q34	41.63424125	35.43091655	6.203324692	130.702288
chr9_q34	41.63424125	35.02051984	6.613721409	130.705288
chr9_q34	41.63424125	34.88372093	6.750520315	130.707288
chr9_q34	40.85603113	34.74692202	6.109109104	130.709288
chr9_q34	40.85603113	34.33652531	6.519505821	130.726288
chr9_q34	40.85603113	34.33652531	6.519505821	130.784288
chr9_q34	41.24513619	34.1997264	7.045409785	130.825288
chr9_q34	41.24513619	34.1997264	7.045409785	130.826288
chr9_q34	41.24513619	34.1997264	7.045409785	130.827288
chr9_q34	41.24513619	34.33652531	6.908610879	130.845288
chr9_q34	41.24513619	34.47332421	6.771811973	130.861288
chr9_q34	41.24513619	34.47332421	6.771811973	130.861288
chr9_q34	41.24513619	34.47332421	6.771811973	130.861288
chr9_q34	41.24513619	34.47332421	6.771811973	130.862288
chr9_q34	41.24513619	35.70451436	5.540621823	130.863288
chr9_q34	41.24513619	35.84131327	5.403822917	130.864288
chr9_q34	42.0233463	35.97811218	6.045234128	130.865288
chr9_q34	42.0233463	36.6621067	5.3612396	130.866288
chr9_q34	42.0233463	36.6621067	5.3612396	130.866288
